REF;ID Ticket AgID;Richiesta;Risposta;Note Integrative
11;n.a.;"Repository xsd procedimenti SUAP:
Il repository di riferimento degli schemi XSD afferenti ai procedimenti del SUAP ci risulta essere: https://github.com/italia/moduli-pa/tree/master/Moduli_PA/SUAPAl. In questo repository gli schemi sono fermi a 5 anni fa. Ci confermate che il repository sia questo? In caso negativo ci indicate il repository corretto?
Oltre al repository degli schemi XSD, avete un repository dei facsimili delle modulistiche in formato compilatore oriented. In word, pdf o altro.";"Si evidenzia che il repository Moduli_PA/SUAPA è stato usato nell’ambito dell’Agenda per la Semplificazione 2020-2026 e 2020-2023 negli anni passati, e riporta gli XSD approvati negli Accordi della Conferenza Unificata per l'approvazione dei moduli unificati e standardizzati in materia di attività edilizia e commerciali e assimilate. Si evidenzia che gli stessi XSD sono stati utilizzati per il primo popolamento del Catalogo SSU.
Per ogni approfondimento in merito a dove recuperate i fac-simile della modulistica, si suggerisce di rivolgersi direttamente ai referenti del Dipartimento della Funzione Pubblica.";n.a.
12;n.a.;"Se fosse confermato il repository degli XSD al punto precedente, tra questi non compare l’AUA (Autorizzazione Unica Ambientale). Essendo questo tra i procedimenti di interesse di XXX, ed è in capo al SUAP, vi chiediamo come si intende gestire questa tipologia di procedimento.
A tal proposito XXX risulta interessata anche ad altre tipologie di procedimenti che non ritroviamo nella lista, come ad esempio le “SCIA stazione radiobase”. In generale con l’introduzione delle nuove modalità operativa e l’obbligo di trasferire le pratiche vi interoperabilità, e non più via PEC, come si intende gestire i procedimenti per i quali non è ancora definito uno schema XSD e non saranno censiti come procedimenti nell’SSU?";"Considerata la natura della domanda fuori dal perimetro tecnico gestionale di AgID, si riporta la risposta condivisa dal Dipartimento della Funzione Pubblica:
Confermiamo che nel repository nativamente verranno inseriti tutti i moduli strutturati nazionali o approvati in Conferenza Stato-Regioni. Tuttavia, si evidenzia che, per alcune specifiche modulistiche, potrebbero esserci delle personalizzazioni territoriali, le quali potranno comunque essere caricate sul Catalogo.
Per quanto riguarda l'Autorizzazione Unica Ambientale (AUA), invece, non esiste in effetti un modello strutturato a livello nazionale. Tuttavia, la XXX ha definito un XSD strutturato. Pertanto, Infocamere, in qualità di gestore, provvederà a caricare tali modelli sul Catalogo. Per qualsiasi ulteriore questione sul tema, si propone di fare un allineamento insieme, con la presenza di Infocamere.
Per ogni approfondimento di merito si suggerisce di rivolgersi direttamente ai referenti del Dipartimento della Funzione Pubblica.";n.a.
13;4796cc1496b24772965f7f7e37d3a341;"Nel sequence diagram che descrive il processo di Autorizzazione, il primo passo che compie il BO SUAP verso l'ET è una chiamata al servizio notify, ma solo se è stata indetta una CDSS dal SUAP.
L'ET da dove recupera i resource_id per richiedere poi al BO i vari documenti relativi alla pratica (SUAP.XML, MDA.XML e ricevuta.XML)?

Nel caso invece non sia stata indetta una CDSS dal SUAP, il BO SUAP non chiama la notify ma la send_instance passando i resource_id, e quindi l'ET ha poi modo di recupere i documenti XML.";"La CdSS è prevista in tre momenti distinti nel processo di Autorizzazione: 
  - A monte delle istruttorie degli ET, quando il BO analizza l'istanza presentata e riscontra la necessità immediata di convocare la conferenza;
  - Durante le istruttorie, quando un ET riscontra delle criticità e ha la necessità di richiedere la convocazione della CdSS al BO al fine di gestirle unitamente con esso e gli altri ET;
  - A valle delle istruttorie degli ET, quando il BO ha ricevuto tutti i pareri degli ET e non è in grado di redigere le conclusioni a causa di esiti contrastanti tra loro.

Il passo indicato nella richiesta riguarda il primo scenario, ossia il BO ha rilevato delle criticità nell'istanza e non ha ancora inviato a nessun ET i riferimenti alla relativa documentazione. In tale scenario, il BO ha ritenuto che gli ET non debbano ancora avviare le loro istruttorie e dovranno partecipare alla conferenza utilizzando i riferimenti riportati nell'attributo ""cdss_channel"" presente nell'oggetto ""CdssNotifyMessage"" riportato nella chiamata ""/notify"". Tramite le informazioni pervenute nella convocazione, o in alternativa durante la conferenza stessa, un ET potrà richiedere direttamente al BO i vari documenti relativi alla pratica (SUAP.XML, MDA.XML e ricevuta.XML) non dovendo quindi effettuare, in questo caso, una chiamata al path ""/instance/{cui_uuid}/document/{resource_id}"". ";n.a.
14;ecd6f4fd89544f2d9bb005de89d96cd2;"Nel sequence diagram che descrive il processo di Autorizzazione, i 3 passaggi consecutivi di chiamate dei servizi:
/instance_descriptor/{cui_uuid} esposto dal Catalogo,
/instance/{cui_uuid}/document/{resource_id} esposto dal BO SUAP
/audit esposto dal Catalogo
devono essere fatte da parte dell'ET a prescindere dell'indizione della CDSS da parte del SUAP?";I tre passaggi consecutivi di chiamate indicati nella richiesta sono identificati sul sequence diagram di Autorizzazione con id 13, 15 e 17 e avvengono solo quando il BO ha effettuato una send_instance agli ET coinvolti per inoltrare loro i riferimenti dell'istanza da analizzare. In tale scenario, il BO non ha indetto la CdSS a priori delle istruttorie degli ET e le chiamate indicate permettono ad essi di ottenere l'Instance Descriptor e tutta la documentazione necessaria per avviare le loro istruttorie.;n.a.
15;cc12256ca6c347e5bb865a6c451bb76b;"Nel sequence diagram che descrive il processo di Autorizzazione, è indicato, come opzionale, che se almeno un ET richiede la CDSS entro i tempi, allora deve inoltrare la richiesta al BO.
Ma se invece la richiesta della CDSS è oltre i tempi?
Inoltre, chi e come stabilisce il criterio per dire se si è nei tempi?";"I tempi procedimentali sono indicati nell'Instance Descriptor nella proprietà ""times"" (schema ""times-schema.yaml"") e riporta tutte le limitazioni temporali per gestire eventuali eventi di lavorazione. In particolare, il numero di giorni limite, a partire dalla data di avvio dell'istanza, entro cui un ET può richiedere la convocazione della CdSS è indicato nell'attributo ""max_gg_cdss_req"". 
Nel caso in cui un ET dovesse effettuare una richiesta di convocazione CdSS al BO superando i tempi previsti da tale attributo, tale richiesta non sarebbe presa in considerazione e il flusso proseguirebbe come indicato nel processo di Autorizzazione. ";n.a.
16;46878fee1c6047089d5dec4c52fe02c5;"Nel sequence diagram che descrive il processo di Autorizzazione, è indicato che il BO notifica agli ET la convocazione della CDSS col servizio notify (passaggi 27-28).
Quando poi termina la CDSS indetta da un ET, cosa succede?
Nella parte finale del diagramma sono descritti solo i casi di CDSS indetta da SUAP e CDSS non indetta, ma non il caso di CDSS indetta da un ET.";"L'ET non può mai indire la CdSS, ma può solo effettuare una richiesta di convocazione al BO. Il BO, infatti, è l'unica componente in grado di convocare la CdSS.
Il caso in cui l'ET richieda una CdSS per intermediazione del BO, è del tutto riconducibile al caso in cui è stato il BO stesso a richiederla. ";n.a.
17;5be07cbba5ba4c64b836bcab17215e03;"Nel sequence diagram che descrive il processo di Autorizzazione, dopo il passaggio 71, c'è una parte opzionale con l'indicazione ""se non si applica il silenzio assenso"".
Cosa si intende con ""silenzio assenso""?
Se invece non si dovesse applicare il silenzio assenso, che passaggi occorre seguire?";"Il silenzio assenso si verifica quando non viene comunicato alcun parere esplicito. Questo implica tacitamente la conferma della validità della pratica, permettendo la naturale prosecuzione del procedimento.

Nel processo di Autorizzazione, se non si applica il silenzio assenso, l'ET esprime un suo parere esplicito, sulla base delle proprie istruttorie, che può essere positivo (passaggio 72) o negativo (passaggio 78).
Quindi, al termine del periodo previsto per la ricezione dei pareri (nota alla riga 183), il processo prosegue secondo i due possibili sviluppi:
   • Il BO convoca la CdSS, in quanto non è in grado di formulare le sue conclusioni a causa dei pareri contrastanti degli ET ;
   • Il BO notifica le conclusioni (autorizzazione concessa o negata, rispettivamente righe 203 o 219) al FO in base agli esiti ricevuti dagli ET.";"Richiedente
Grazie per la risposta.
Non capisco però dove sia la nota alla riga 183 e le righe 203 e 219: il sequence diagram dell'Autorizzazione si ferma al passo 113.

Operatore
La nota presente nella riga 183 è la seguente: ""Note over B,E: concluso tempo ricezione pareri o tutti gli ET hanno inviato parere (compreso silenzio assenso)"".
Purtroppo le note e gli ""alt"" non possono essere identificati tramite un numero nel diagramma, come avviene invece per le chiamate effettuate dai componenti. Per ovviare al problema ho usato i riferimenti alle righe di codice del file mermaid."
18;340887f5a6074b4c88beda00d7ef140e;"Nel sequence diagram che descrive il processo di Autorizzazione, al passaggio 78-79, a fronte di un parere esplicito negativo c'è la chiamata dell'ET al servizio /send_conclusions esposto dal BO, in cui dallo Yaml si evince che il tag ""conclusions_type"" deve valere ""suspension_requested"".
Perchè ci deve essere una sospensione se il parere esplicito è NEGATIVO?
Quale deve essere il criterio di termine della sospensione e che azioni deve prendere l'ET?";"Confermiamo la sua assunzione in merito alla segnalazione posta e confermiamo che è attualmente in corso la riformulazione dell'attributo ""suspension_requested"" per mantenere una corretta concordanza con l'oggetto (NegativeOutcomeRequired) a cui è associato.
Tali aggiornamenti sono soggetti ad un processo di approvazione e la loro pubblicazione sarà realizzata nei modi previsti dalla norma.";n.a.
19;117a32873b4e4a7fb517294727e91dee;"Nel sequence diagram che descrive il processo di Autorizzazione, al passaggio 80-81, l'ET chiama il servizio /audit del Catalogo.
Manca l'indicazione dell'ET che fa la chiamata. E' corretto?";"Confermiamo la sua assunzione in merito alla segnalazione posta. 
Ci teniamo a precisare che le Specifiche Tecniche sono costantemente soggette a verifica e aggiornamento al fine di risolvere qualsiasi criticità riscontrata e tale segnalazione risulta essere già gestita nei vari cicli di revisione periodica.
Tali aggiornamenti sono soggetti ad un processo di approvazione e la loro pubblicazione sarà realizzati nei modi previsti dalla norma.";"Richiedente
Grazie. Quindi c'è una segnalazione in merito che presumibilmente porterà ad una nuova definizione del passo indicato, in cui verrà esplicitata l'indicazione dell'ET?
Lo yaml verrà poi aggiornato in una cartella ""approved03"" ?

Operatore
È attualmente in corso il secondo ciclo di aggiornamento delle Specifiche Tecniche e tali modifiche sono gestite nel branch ""mantaince002"". Una volta completato il suo ciclo di verifica, a valle di tutte le modifiche proposte, queste saranno disponibili nel branch ""approved02"" e solo a valle delle ultime approvazioni verranno riportate nel branch ""main"".
Approfittiamo per precisare che:
- il branch ""mantainceXXX"" è utilizzato per proporre le modifiche in corso di aggiornamento;
- Il branch ""approvedXXX"" riporta le Specifiche aggiornate in attesa dell'approvazione ufficiale;
- Il branch ""main"" riporta le Specifiche Tecniche approvate e pubblicate ufficialmente nei modi previsti dalla norma.

Richiedente
Grazie delle precisazioni. Quindi fa fede solo quanto pubblicato in ""main"", in quanto tratta specifiche approvate. Avevo erroneamente ritenuto di poter usare quanto presente in ""approved02"".
Ogni volta che viene aggiunta/modificata una specifica sul ""main"" viene data una qualche comunicazione o aggiunta una nota in qualche punto sulla piattaforma github che consenta di capire che c'è stata una variazione?
Dove trovo la norma cui fa riferimento?

Operatore
Le comunichiamo che può procedere con la consultazione delle variazioni presenti nel branch ""approved01"", considerato che, in data 02/05/2024, si è concluso il primo ciclo di aggiornamento delle Specifiche Tecniche. Tuttavia, la pubblicazione ufficiale necessaria per aggiornare tali variazioni nel branch ""main"" non è ancora avvenuta.

Tali aggiornamenti e modifiche sono regolamentate dall'art. 3 del Decreto Interministeriale del 26 settembre 2023 SUAP (pubblicato in Gazzetta ufficiale n.276 del 25 novembre 2023), che affida al Gruppo Tecnico il ruolo di mantenere costantemente aggiornate le Specifiche Tecniche, in risposta alle evoluzioni normative e tecnologiche, nonché alle variazioni per esigenze operative (comma 1).

Richiedente
Che modalità usa Agid per avvisare che c'è stata una variazione? Dobbiamo noi monitorare continuamente la piattaforma di Github per vedere se la cartella ""main"" ha data di aggiornamento recente, o c'è un qualche punto dove vengono pubblicati gli avvisi?

Operatore
Le comunichiamo che è stata pubblicata una notizia (https://www.suapsue.gov.it/news/?news_id=26) per condividere ufficialmente link GitHub (https://github.com/AgID/specifiche-tecniche-DPR-160-2010/tree/approved01) dove è possibile consultare la nuova versione delle Specifiche Tecniche di interoperabilità SUAP.
La invitiamo a monitorare la sezione News (https://www.suapsue.gov.it/news) del sito di progetto “Digitalizzazione delle procedure SUAP e SUE"" per verificare i prossimi aggiornamenti e novità in merito."
20;e50b438519ef45a4b260bea69fd44299;"Nel sequence diagram che descrive il processo di Autorizzazione, al passaggio 88-89, il BO comunica all'ET col servizio /notify l'indizione della CDSS.
Ma la notifica all'ET non era già stata fatta al passaggio 5-6?";"I due momenti indicati nella richiesta fanno parte di due scenari differenti che non si susseguono.
I passaggi 5 e 6 avvengono prima dell'avvio delle istruttorie degli ET, poichè il BO ha riscontrato delle criticità durante le sue analisi formali e quindi convoca prontamente la CdSS. 
Al contrario, i passaggi 88 e 89 avvengono a seguito delle istruttorie degli ET, Il BO ha raccolto tutti pareri, riscontrato delle discordanze nei loro esiti e necessita, quindi, di convocare la CdSS per identificare una conclusione comune.";n.a.
21;fb6600b7830747f795c8c8cc0d54c40a;"Sia nel caso di Autorizzazione che di SCIA, occorre sapere l'endpoint del BO da contattare.
Per ottenerlo è corretta la seguente procedura?
1) chiedo al catalogo l'ID del suap tramite il servizio /suap/{municipality}, passando il comune;
2) poi chiedo al catalogo l'endpoint tramite il servizio /suap/{suap_id}/{suap_version}/backoffice-system, con i dati ""ID, versione"" ottenuti al punto 1.
Come va fornito il comune al punto 1? Per nome esteso (es: XXX) o codificato in qualche modo?";"La procedura indicata nella richiesta è corretta. 
La chiamata indicata al punto 1 è necessaria per ottenere i riferimenti di un singolo BO SUAP associato ad un comune. Il riferimento comunale che deve essere passato al punto 1 è il suo codice ISTAT a 6 cifre. Tale Codice ISTAT è identificato tramite l’attributo municipality presente nel relativo Instance Descriptor, recuperabile dal Catalogo SSU tramite il path catalogo-ssu_to_et/instance_descriptor/{cui_uuid}.
Si segnala che l’oggetto restituito in risposta al path /suap/{municipality} è soggetto ad un aggiornamento al fine di perfezionare la sua struttura, che verrà sostituita dall’attuale GenericEntity con una ComponentEntity. Tuttavia, id e version sono comunque già disponibili anche nel GenericEntity.

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.";n.a.
22;3586a49924cc41449773792d95ea861b;"Nel sequence diagram della SCIA, al passo 1 il BO chiama il servizio /send_instance dell'ET.
Nella request manca il nome del file MDA allegato alla pratica. E' corretto?
Nell'oggetto instance_index c'è un resource_id, ma anche nell'oggetto general_index c'è un resource_id in ogni allegato. Nel sequence diagram si dice di usare quello in istance_index. Il resource_id quindi è unico per tutta la pratica o ci sono più resource_id: uno generale e uno diverso per ciascun documento allegato?";"La send_instance prevede l'inoltro dell'oggetto ""SendInstanceRequest"" composto da:
 - cui
 - instance_descriptor_version
 - instance_index
 - general_index
Gli ultimi due oggetti, instance_index e general_index, contengono i documenti relativi alla pratica, identificati univocamente tra loro mediante l'utilizzo della chiave resource_id. Tale chiave di riferimento è univoca, per erogatore e CUI.UUID, pertanto non è possibile ritrovare due resource_id uguali in nessun caso.

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.";"Richiedente
A questo punto ho difficoltà a capire la differenza tra questi due oggetti:
1) InstanceIndex è dichiarato come ""indice istanza"" ed è un array;
2) GeneralIndex è dichiarato come ""indice allegati trasversali"" ed è un array.
Entrambi hanno i resource_id per ciascuna risorsa in essi contenuta.
L'erogatore, cioè FO, BO o ET, insieme al cui_uuid sono la coppia che rende univoca l'istanza, e all'interno dell'istanza ogni resource_id rende univoco ogni risorsa. In totale quindi la tripletta non potrà mai essere ripetuta. Corretto?
Ma allora perchè non avere un unico oggetto Index che contenga tutti gli allegati (SUAP.XML, MDA.XML, ricevuta.XML, PDF e quant'altro) ?

Operatore
IntanceIndex e GeneralIndex contengono una lista di documenti associati ad una istanza che sono identificati univocamente da un proprio resource_id.
Il GeneralIndex è stato introdotto durante le fasi di aggiornamento delle Specifiche Tecniche, quando il Gruppo Tecnico ha riscontrato la necessità di colmare un delta informativo, che talvolta non è immediatamente nelle disponibilità del SUAP. Tali dati, correttamente non presenti nell'Instance Descriptor anche per ragioni di privacy, sono stati definiti in questo nuovo indice di allegati trasversali.
Volendo fare un confronto tra il GeneralIndex e l'InstanceIndex, è possibile affermare che il GeneralIndex prescinde dalle fattispecie di procedimento, per tale motivo riporta una lista specifica di tipologie di documento che non vengono invece gestite nell'InstanceIndex."
